date,gtrends_volume,is_partial
2020-08-01,14,False
2020-08-02,15,False
2020-08-03,12,False
2020-08-04,61,False
2020-08-05,60,False
2020-08-06,67,False
2020-08-07,86,False
2020-08-08,75,False
2020-08-09,75,False
2020-08-10,80,False
2020-08-11,82,False
2020-08-12,88,False
2020-08-13,96,False
2020-08-14,88,False
2020-08-15,90,False
2020-08-16,96,False
2020-08-17,86,False
2020-08-18,79,False
2020-08-19,89,False
2020-08-20,89,False
2020-08-21,84,False
2020-08-22,100,False
2020-08-23,86,False
2020-08-24,79,False
2020-08-25,75,False
2020-08-26,73,False
2020-08-27,74,False
2020-08-28,75,False
2020-08-29,77,False
2020-08-30,73,False
2020-08-31,60,False
2020-09-01,56,False
2020-09-02,52,False
2020-09-03,48,False
2020-09-04,52,False
2020-09-05,51,False
2020-09-06,49,False
2020-09-07,41,False
2020-09-08,38,False
2020-09-09,35,False
2020-09-10,32,False
2020-09-11,32,False
2020-09-12,35,False
2020-09-13,35,False
2020-09-14,28,False
2020-09-15,33,False
2020-09-16,29,False
2020-09-17,26,False
2020-09-18,27,False
2020-09-19,28,False
2020-09-20,27,False
2020-09-21,23,False
2020-09-22,22,False
2020-09-23,22,False
2020-09-24,26,False
2020-09-25,29,False
2020-09-26,27,False
2020-09-27,28,False
2020-09-28,21,False
2020-09-29,18,False
2020-09-30,16,False
2020-10-01,14,False
2020-10-02,16,False
2020-10-03,17,False
2020-10-04,16,False
2020-10-05,15,False
2020-10-06,13,False
2020-10-07,15,False
2020-10-08,24,False
2020-10-09,19,False
2020-10-10,17,False
2020-10-11,15,False
2020-10-12,12,False
2020-10-13,11,False
2020-10-14,11,False
2020-10-15,10,False
2020-10-16,10,False
2020-10-17,11,False
2020-10-18,10,False
2020-10-19,9,False
2020-10-20,9,False
2020-10-21,10,False
2020-10-22,9,False
2020-10-23,8,False
2020-10-24,9,False
2020-10-25,9,False
2020-10-26,8,False
2020-10-27,7,False
2020-10-28,7,False
2020-10-29,6,False
2020-10-30,7,False
2020-10-31,7,False
2020-11-01,7,False
2020-11-02,6,False
2020-11-03,6,False
2020-11-04,5,False
2020-11-05,5,False
2020-11-06,5,False
2020-11-07,6,False
2020-11-08,8,False
2020-11-09,6,False
2020-11-10,7,False
2020-11-11,7,False
2020-11-12,6,False
2020-11-13,6,False
2020-11-14,7,False
2020-11-15,7,False
2020-11-16,6,False
2020-11-17,6,False
2020-11-18,6,False
2020-11-19,6,False
2020-11-20,6,False
2020-11-21,6,False
2020-11-22,6,False
2020-11-23,5,False
2020-11-24,5,False
2020-11-25,5,False
2020-11-26,6,False
2020-11-27,6,False
2020-11-28,6,False
2020-11-29,6,False
2020-11-30,5,False
2020-12-01,5,False
2020-12-02,5,False
2020-12-03,5,False
2020-12-04,5,False
2020-12-05,6,False
2020-12-06,6,False
2020-12-07,5,False
2020-12-08,5,False
2020-12-09,5,False
2020-12-10,5,False
2020-12-11,6,False
2020-12-12,6,False
2020-12-13,5,False
2020-12-14,5,False
2020-12-15,8,False
2020-12-16,7,False
2020-12-17,6,False
2020-12-18,6,False
2020-12-19,7,False
2020-12-20,7,False
2020-12-21,6,False
2020-12-22,6,False
2020-12-23,6,False
2020-12-24,6,False
2020-12-25,7,False
2020-12-26,7,False
2020-12-27,6,False
2020-12-28,6,False
2020-12-29,5,False
2020-12-30,5,False
2020-12-31,5,False
2021-01-01,6,False
2021-01-02,6,False
2021-01-03,5,False
2021-01-04,4,False
2021-01-05,4,False
2021-01-06,4,False
2021-01-07,4,False
2021-01-08,5,False
2021-01-09,5,False
2021-01-10,5,False
2021-01-11,4,False
2021-01-12,4,False
2021-01-13,4,False
2021-01-14,4,False
2021-01-15,4,False
2021-01-16,5,False
2021-01-17,5,False
2021-01-18,4,False
2021-01-19,4,False
2021-01-20,4,False
2021-01-21,4,False
2021-01-22,4,False
2021-01-23,4,False
2021-01-24,4,False
2021-01-25,3,False
2021-01-26,4,False
2021-01-27,3,False
2021-01-28,3,False
2021-01-29,3,False
2021-01-30,4,False
2021-01-31,4,False
