date,gtrends_volume,is_partial
2022-08-15,2,False
2022-08-16,2,False
2022-08-17,2,False
2022-08-18,1,False
2022-08-19,2,False
2022-08-20,2,False
2022-08-21,2,False
2022-08-22,1,False
2022-08-23,2,False
2022-08-24,2,False
2022-08-25,2,False
2022-08-26,2,False
2022-08-27,2,False
2022-08-28,2,False
2022-08-29,2,False
2022-08-30,2,False
2022-08-31,3,False
2022-09-01,3,False
2022-09-02,4,False
2022-09-03,8,False
2022-09-04,8,False
2022-09-05,8,False
2022-09-06,8,False
2022-09-07,9,False
2022-09-08,16,False
2022-09-09,100,False
2022-09-10,92,False
2022-09-11,67,False
2022-09-12,43,False
2022-09-13,33,False
2022-09-14,27,False
2022-09-15,23,False
2022-09-16,20,False
2022-09-17,20,False
2022-09-18,22,False
2022-09-19,15,False
2022-09-20,11,False
2022-09-21,10,False
2022-09-22,10,False
2022-09-23,12,False
2022-09-24,13,False
2022-09-25,11,False
2022-09-26,8,False
2022-09-27,7,False
2022-09-28,6,False
2022-09-29,6,False
2022-09-30,6,False
2022-10-01,7,False
2022-10-02,7,False
2022-10-03,6,False
2022-10-04,6,False
2022-10-05,6,False
2022-10-06,4,False
2022-10-07,4,False
2022-10-08,4,False
2022-10-09,4,False
2022-10-10,3,False
2022-10-11,3,False
2022-10-12,3,False
2022-10-13,3,False
2022-10-14,3,False
2022-10-15,3,False
2022-10-16,3,False
2022-10-17,2,False
2022-10-18,2,False
2022-10-19,3,False
2022-10-20,3,False
2022-10-21,3,False
2022-10-22,3,False
2022-10-23,4,False
2022-10-24,4,False
2022-10-25,3,False
2022-10-26,3,False
2022-10-27,2,False
2022-10-28,3,False
2022-10-29,3,False
2022-10-30,3,False
2022-10-31,2,False
2022-11-01,2,False
2022-11-02,2,False
2022-11-03,4,False
2022-11-04,12,False
2022-11-05,10,False
2022-11-06,8,False
2022-11-07,5,False
2022-11-08,5,False
2022-11-09,3,False
2022-11-10,3,False
2022-11-11,3,False
2022-11-12,3,False
2022-11-13,3,False
2022-11-14,2,False
2022-11-15,2,False
2022-11-16,2,False
2022-11-17,2,False
2022-11-18,2,False
2022-11-19,2,False
2022-11-20,2,False
2022-11-21,1,False
2022-11-22,1,False
2022-11-23,1,False
2022-11-24,1,False
2022-11-25,1,False
2022-11-26,2,False
2022-11-27,2,False
2022-11-28,1,False
2022-11-29,1,False
2022-11-30,1,False
