date,gtrends_volume,is_partial
2022-11-20,0,False
2022-11-21,0,False
2022-11-22,0,False
2022-11-23,0,False
2022-11-24,0,False
2022-11-25,0,False
2022-11-26,0,False
2022-11-27,0,False
2022-11-28,0,False
2022-11-29,0,False
2022-11-30,0,False
2022-12-01,2,False
2022-12-02,3,False
2022-12-03,4,False
2022-12-04,6,False
2022-12-05,11,False
2022-12-06,15,False
2022-12-07,20,False
2022-12-08,23,False
2022-12-09,22,False
2022-12-10,16,False
2022-12-11,20,False
2022-12-12,27,False
2022-12-13,24,False
2022-12-14,24,False
2022-12-15,22,False
2022-12-16,21,False
2022-12-17,15,False
2022-12-18,14,False
2022-12-19,16,False
2022-12-20,15,False
2022-12-21,14,False
2022-12-22,14,False
2022-12-23,14,False
2022-12-24,11,False
2022-12-25,11,False
2022-12-26,11,False
2022-12-27,12,False
2022-12-28,12,False
2022-12-29,14,False
2022-12-30,13,False
2022-12-31,10,False
2023-01-01,11,False
2023-01-02,15,False
2023-01-03,18,False
2023-01-04,19,False
2023-01-05,23,False
2023-01-06,23,False
2023-01-07,20,False
2023-01-08,21,False
2023-01-09,27,False
2023-01-10,32,False
2023-01-11,31,False
2023-01-12,31,False
2023-01-13,33,False
2023-01-14,25,False
2023-01-15,26,False
2023-01-16,35,False
2023-01-17,39,False
2023-01-18,41,False
2023-01-19,40,False
2023-01-20,38,False
2023-01-21,31,False
2023-01-22,36,False
2023-01-23,43,False
2023-01-24,49,False
2023-01-25,47,False
2023-01-26,47,False
2023-01-27,46,False
2023-01-28,38,False
2023-01-29,41,False
2023-01-30,54,False
2023-01-31,56,False
2023-02-01,53,False
2023-02-02,56,False
2023-02-03,57,False
2023-02-04,47,False
2023-02-05,48,False
2023-02-06,62,False
2023-02-07,72,False
2023-02-08,75,False
2023-02-09,69,False
2023-02-10,63,False
2023-02-11,53,False
2023-02-12,55,False
2023-02-13,67,False
2023-02-14,66,False
2023-02-15,67,False
2023-02-16,65,False
2023-02-17,59,False
2023-02-18,57,False
2023-02-19,58,False
2023-02-20,65,False
2023-02-21,74,False
2023-02-22,67,False
2023-02-23,67,False
2023-02-24,62,False
2023-02-25,48,False
2023-02-26,54,False
2023-02-27,77,False
2023-02-28,68,False
2023-03-01,64,False
2023-03-02,63,False
2023-03-03,61,False
2023-03-04,48,False
2023-03-05,50,False
2023-03-06,64,False
2023-03-07,65,False
2023-03-08,67,False
2023-03-09,67,False
2023-03-10,63,False
2023-03-11,49,False
2023-03-12,53,False
2023-03-13,65,False
2023-03-14,69,False
2023-03-15,81,False
2023-03-16,76,False
2023-03-17,70,False
2023-03-18,55,False
2023-03-19,63,False
2023-03-20,96,False
2023-03-21,80,False
2023-03-22,81,False
2023-03-23,82,False
2023-03-24,78,False
2023-03-25,63,False
2023-03-26,71,False
2023-03-27,84,False
2023-03-28,90,False
2023-03-29,95,False
2023-03-30,95,False
2023-03-31,85,False
2023-04-01,67,False
2023-04-02,71,False
2023-04-03,86,False
2023-04-04,87,False
2023-04-05,85,False
2023-04-06,75,False
2023-04-07,69,False
2023-04-08,64,False
2023-04-09,68,False
2023-04-10,92,False
2023-04-11,90,False
2023-04-12,89,False
2023-04-13,88,False
2023-04-14,80,False
2023-04-15,66,False
2023-04-16,74,False
2023-04-17,92,False
2023-04-18,93,False
2023-04-19,92,False
2023-04-20,90,False
2023-04-21,81,False
2023-04-22,61,False
2023-04-23,71,False
2023-04-24,91,False
2023-04-25,94,False
2023-04-26,93,False
2023-04-27,91,False
2023-04-28,84,False
2023-04-29,64,False
2023-04-30,65,False
2023-05-01,79,False
2023-05-02,86,False
2023-05-03,90,False
2023-05-04,87,False
2023-05-05,77,False
2023-05-06,62,False
2023-05-07,65,False
2023-05-08,88,False
2023-05-09,86,False
2023-05-10,90,False
2023-05-11,92,False
2023-05-12,79,False
2023-05-13,61,False
2023-05-14,68,False
2023-05-15,92,False
2023-05-16,92,False
2023-05-17,92,False
2023-05-18,89,False
2023-05-19,85,False
2023-05-20,65,False
2023-05-21,68,False
2023-05-22,83,False
2023-05-23,90,False
2023-05-24,90,False
2023-05-25,100,False
2023-05-26,77,False
2023-05-27,62,False
2023-05-28,67,False
2023-05-29,81,False
2023-05-30,85,False
2023-05-31,87,False
2023-06-01,84,False
2023-06-02,75,False
2023-06-03,59,False
2023-06-04,66,False
2023-06-05,84,False
2023-06-06,84,False
2023-06-07,84,False
2023-06-08,78,False
2023-06-09,70,False
2023-06-10,58,False
2023-06-11,65,False
2023-06-12,83,False
2023-06-13,86,False
2023-06-14,86,False
2023-06-15,83,False
2023-06-16,75,False
2023-06-17,58,False
2023-06-18,65,False
2023-06-19,79,False
2023-06-20,78,False
2023-06-21,81,False
2023-06-22,80,False
2023-06-23,70,False
2023-06-24,53,False
2023-06-25,59,False
2023-06-26,72,False
2023-06-27,70,False
2023-06-28,69,False
2023-06-29,68,False
2023-06-30,65,False
2023-07-01,50,False
